tea_id,name,absolute_url
061902106,Degan Elementary School,/districts/lewisville-isd/degan-elementary-school/
019901102,Dekalb Elementary School,/districts/dekalb-isd/dekalb-elementary-school/
019901001,Dekalb High School,/districts/dekalb-isd/dekalb-high-school/
019901041,Dekalb Middle School,/districts/dekalb-isd/dekalb-middle-school/
031901120,Del Castillo Elementary School,/districts/brownsville-isd/del-castillo-elementary-school/
071905104,Del Norte Heights Elementary School,/districts/ysleta-isd/del-norte-heights-elementary-school/
233901001,Del Rio High School,/districts/san-felipe-del-rio-cisd/del-rio-high-school/
233901043,Del Rio Middle School,/districts/san-felipe-del-rio-cisd/del-rio-middle-school/
071905145,Del Valle El,/districts/ysleta-isd/del-valle-el/
227910110,Del Valle Elementary School,/districts/del-valle-isd/del-valle-elementary-school/
071905008,Del Valle High School,/districts/ysleta-isd/del-valle-high-school/
227910001,Del Valle High School,/districts/del-valle-isd/del-valle-high-school/
227910041,Del Valle Middle School,/districts/del-valle-isd/del-valle-middle-school/
227910002,Del Valle Opportunity Center,/districts/del-valle-isd/del-valle-opportunity-center/
061902050,Delay Middle School,/districts/lewisville-isd/delay-middle-school/
227904113,Delco Primary School,/districts/pflugerville-isd/delco-primary-school/
227901249,Dell Children's Medical Center,/districts/austin-isd/dell-childrens-medical-center/
115903001,Dell City School,/districts/dell-city-isd/dell-city-school/
246904105,Dell Pickett Elementary School,/districts/georgetown-isd/dell-pickett-elementary-school/
220908205,Della Icenhower Intermediate School,/districts/mansfield-isd/della-icenhower-intermediate-school/
015910104,Dellview Elementary School,/districts/north-east-isd/dellview-elementary-school/
101919114,Deloras E Thompson Elementary School,/districts/spring-isd/deloras-e-thompson-elementary-school/
071902025,Delta Academy,/districts/el-paso-isd/delta-academy/
159901104,Dena Kelso Graves Elementary School,/districts/eagle-pass-isd/dena-kelso-graves-elementary-school/
091903001,Denison High School,/districts/denison-isd/denison-high-school/
221801060,Denton Classical Academy,/districts/responsive-education-solutions/denton-classical-academy/
061903002,Denton Co J J A E P,/districts/pilot-point-isd/denton-co-j-j-a-e-p/
061905002,Denton Co J J A E P,/districts/krum-isd/denton-co-j-j-a-e-p/
061911005,Denton Co J J A E P,/districts/northwest-isd/denton-co-j-j-a-e-p/
061907002,Denton Co J J A E P,/districts/aubrey-isd/denton-co-j-j-a-e-p/
061914002,Denton Co J J A E P,/districts/little-elm-isd/denton-co-j-j-a-e-p/
061902007,Denton County JJAEP,/districts/lewisville-isd/denton-county-jjaep/
061901006,Denton County JJAEP,/districts/denton-isd/denton-county-jjaep/
061908002,Denton County JJAEP,/districts/sanger-isd/denton-county-jjaep/
061911003,Denton Creek,/districts/northwest-isd/denton-creek/
057922111,Denton Creek Elementary School,/districts/coppell-isd/denton-creek-elementary-school/
061901003,Denton High School,/districts/denton-isd/denton-high-school/
251901001,Denver City High School,/districts/denver-city-isd/denver-city-high-school/
139912102,Deport Elementary School,/districts/prairiland-isd/deport-elementary-school/
123907102,Dequeen Elementary School,/districts/port-arthur-isd/dequeen-elementary-school/
170902074,Deretchin Elementary School,/districts/conroe-isd/deretchin-elementary-school/
031909101,Derry Elementary School,/districts/point-isabel-isd/derry-elementary-school/
071901103,Desert Hills Elementary School,/districts/clint-isd/desert-hills-elementary-school/
